date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-05-15,11.5,8,16,5.6,,290,20.7,,1007.5,
2022-05-16,11.8,7,17,0.7,,305,22.2,,1010.2,
2022-05-17,10.3,5,15,0.1,,305,18.4,,1009.2,
2022-05-18,9.1,4,15,1.8,,353,11.4,,1011.3,
2022-05-19,12.6,6,19,0,,337,13.9,,1016.5,
2022-05-20,13.5,8,18,0.8,,351,10.8,,1014.8,
2022-05-21,11.4,9,14,12.6,,127,19.3,,1006.8,
2022-05-22,9.5,7,11,18.2,,54,11.6,,997.4,
2022-05-23,9.6,4,14,0,,357,11.8,,1005.5,
2022-05-24,11.5,3,18,0,,295,13.7,,1008.9,
2022-05-25,13.8,6.7,20,0.1,,359,7.2,,1013.5,
2022-05-26,13,6,21,5.1,,200,16.3,,1009.9,
2022-05-27,14.5,10,19,1.6,,268,25,,1006.7,
2022-05-28,12.9,10,17,5.7,,264,18,,1006.7,
2022-05-29,13.8,9,19,0,,259,8.7,,1014.3,
2022-05-30,16.3,8,22,0.5,,138,16,,1018.1,
2022-05-31,16.7,14,20,38.1,,109,10.9,,1017.6,
2022-06-01,18.4,13,24,0.5,,60,9.3,,1018.4,
2022-06-02,20.2,15,26,12.9,,136,11.6,,1018.4,
2022-06-03,18.6,13.2,23,9.6,,285,13.4,,1018.5,
2022-06-04,16.3,10.2,22,0,,22,8.4,,1021.3,
2022-06-05,16,10,21,0,,3,7.5,,1016.3,
2022-06-06,16.6,10,23,0,,353,11,,1016.5,
2022-06-07,18.5,11,24,0,,342,9.3,,1016.4,
2022-06-08,18.4,10,25,0,,42,7.8,,1014.6,
2022-06-09,19.6,11,26,0,,136,6,,1014.5,
2022-06-10,21.5,11,28,0,,331,6.1,,1015.5,
2022-06-11,23,17,29,0,,1,9.3,,1015.5,
2022-06-12,19.5,14,28,7.1,,60,7.9,,1012.8,
2022-06-13,18.8,12,24,1.6,,58,7.1,,1011.5,
2022-06-14,19.6,13,28,8.1,,189,12.8,,1010.4,
2022-06-15,16.5,12,21,0.2,,312,12.5,,1014.4,
2022-06-16,17,10,23,0.1,,313,10.3,,1016.2,
2022-06-17,18,11,24,0.7,,240,8,,1016.2,
2022-06-18,17.3,13,22,0.3,,359,6,,1015.6,
2022-06-19,20.3,12,26,0,,249,14.1,,1015.5,
2022-06-20,24.1,18,29,0,,247,19.7,,1009.7,
2022-06-21,24.1,17,31,1.4,,233,15.1,,1000.1,
2022-06-22,17,15,20,8.1,,343,13.4,,998,
2022-06-23,17.2,15,20,45.5,,42,15.1,,1005.1,
2022-06-24,19.9,16,24,1.4,,41,16.8,,1011.7,
2022-06-25,20.5,11,26,0,,50,14.6,,1015.7,
2022-06-26,22.1,13,29,0,,56,14.1,,1018.9,
2022-06-27,23.9,16,30,0,,34,10,,1020.6,
2022-06-28,24.8,18,31,0,,24,9.9,,1017.9,
2022-06-29,21.3,15,26,0,,68,11.1,,1019,
2022-06-30,19.9,13,25,0,,21,10.1,,1017.4,
2022-07-01,19.5,13,26,0,,13,14.3,,1016.6,
2022-07-02,16.3,7,23,0,,14,12.5,,1020.8,
2022-07-03,21.3,12,28,0,,349,13.6,,1017.5,
2022-07-04,24.3,17,30,0,,349,9.9,,1015.7,
2022-07-05,24,17,30,1.5,,341,7.6,,1015.5,
2022-07-06,25,16,31,0,,150,11.3,,1014.8,
2022-07-07,24,18,30,2.3,,137,14.4,,1013.8,
2022-07-08,22,17,29,2.4,,32,12.3,,1015.7,
2022-07-09,22.4,16,31,0.1,,54,12.2,,1011.7,
2022-07-10,22.6,17,28,3.5,,77,12.9,,1007.1,
2022-07-11,20.4,18,24,4.9,,73,14.3,,1004.5,
2022-07-12,18.3,14,24,0.4,,195,16.7,,1010.8,
2022-07-13,18,11,26,0.2,,174,17.6,,1012.3,
2022-07-14,16.7,14,21,3.1,,220,15.2,,1008.1,
2022-07-15,19.6,13,28,11.4,,247,11.9,,1011.3,
2022-07-16,18.5,12,23,0,,351,7.7,,1015.3,
2022-07-17,16,10,22,1.2,,355,9.3,,1016,
2022-07-18,15.2,11,20,15.6,,301,12.2,,1016.3,
2022-07-19,16,10,21,1.7,,277,12,,1018.6,
2022-07-20,15.7,12.3,23,13.5,,267,15.1,,1012.6,
2022-07-21,14.9,13,19,7.3,,321,17,,1006.1,
2022-07-22,16.3,13,21,4.9,,5,15.2,,1008.8,
2022-07-23,19.9,14,26,0,,11,13.1,,1013.6,
2022-07-24,22.1,15,28,0,,329,9.4,,1012.8,
2022-07-25,19.8,17,24,3,,316,12,,1009.3,
2022-07-26,17.8,15.9,23,0.3,,350,9.7,,1009,
2022-07-27,21.1,13,28,0.2,,152,5.8,,1010.9,
2022-07-28,22.4,16,28,2.3,,276,12.4,,1014.3,
2022-07-29,20,14,25,0,,351,12.9,,1018.8,
2022-07-30,20,13,26,0,,11,6.8,,1018.9,
2022-07-31,20.6,13,27,0,,51,9.4,,1016.8,
