date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-05-15,12.7,11.3,17,16.1,,,,,,
2016-05-16,11.4,9.7,14.7,1,,,,,,
2016-05-17,13.9,11.3,17.1,0.1,,,,,,
2016-05-18,14.3,11.3,18,2.4,,,,,,
2016-05-19,13.5,12.4,18,23.7,,,,,,
2016-05-20,12.3,9.5,17.5,6.4,,,,,,
2016-05-21,11.9,8.8,15.1,4.3,,,,,,
2016-05-22,13.6,11.3,16.6,0.1,,,,,,
2016-05-23,15.1,9.3,20.4,,,,,,,
2016-05-24,15.6,11.2,20.3,0.3,,,,,,
2016-05-25,17.9,9.7,24.6,1.8,,,,,,
2016-05-26,17.5,13.1,24,,,,,,,
2016-05-27,18.3,15.6,23,4.2,,,,,,
2016-05-28,21.9,16,27,,,,,,,
2016-05-29,21.1,17.4,26.7,,,,,,,
2016-05-30,21.4,16.3,27.7,,,,,,,
2016-05-31,18.7,17.4,24.3,2.1,,,,,,
2016-06-01,13.8,9.2,18.8,,,,,,,
2016-06-02,15.4,10.1,20.4,,,,,,,
2016-06-03,16.1,9.1,21.6,,,,,,,
2016-06-04,16.5,10.5,23.5,1.4,,,,,,
2016-06-05,17.6,12.5,24.2,15.6,,,,,,
2016-06-06,13.1,11.2,19.1,12,,,,,,
2016-06-07,9.9,6.8,15.3,,,,,,,
2016-06-08,10.3,5.5,14.6,,,,,,,
2016-06-09,14.7,7,19.6,,,,,,,
2016-06-10,18.1,10.5,23.5,,,,,,,
2016-06-11,17.6,12.1,23,,,,,,,
2016-06-12,17.1,14.2,21.3,4.5,,,,,,
2016-06-13,17.1,9.4,21.4,,,,,,,
2016-06-14,18.4,15.3,24.5,4,,,,,,
2016-06-15,21.1,15,26,3,,,,,,
2016-06-16,21.1,16.8,25.8,3,,,,,,
2016-06-17,22.9,16.7,28.5,,,,,,,
2016-06-18,25.1,17.1,30.7,,,,,,,
2016-06-19,24.3,19.1,30.5,,,,,,,
2016-06-20,22.8,18.4,27.8,,,,,,,
2016-06-21,24.4,18.5,30,,,,,,,
2016-06-22,24,17.9,30.6,,,,,,,
